,link,category,name,is_save
116,https://vkusvill.ru/goods/kasha-risovaya-molochnaya-250-g-72848.html,Готовая еда,каша рисовая молочная,1
117,https://vkusvill.ru/goods/latte-s-arakhisovoy-pastoy-300-ml-kafe-94422.html,Напитки,латте с арахисовой пастой  кафе,1
118,https://vkusvill.ru/goods/kasha-risovaya-s-klubnichno-vishnevym-topingom-96608.html,Готовая еда,каша рисовая с клубнично-вишневым топингом,1
119,https://vkusvill.ru/goods/kasha-risovaya-s-mangovym-topingom-67453.html,Готовая еда,каша рисовая с манговым топингом,1
120,https://vkusvill.ru/goods/kesadilya-s-vetchinoy-iz-indeyki-i-syrom-83595.html,Готовая еда,кесадилья с ветчиной из индейки и сыром,1
121,https://vkusvill.ru/goods/kesadilya-s-kuritsey-220-g-95427.html,Готовая еда,кесадилья с курицей,1
122,https://vkusvill.ru/goods/keta-zharenaya-file-200-g-70274.html,Готовая еда,кета жареная филе,1
123,https://vkusvill.ru/goods/kish-syr-s-ovoshchami-28728.html,Готовая еда,киш сыр с овощами,1
124,https://vkusvill.ru/goods/klab-sendvich-s-kurinym-pate-i-kopcheno-varenym-bekonom-92847.html,Готовая еда,клаб-сэндвич с куриным пате и копчено-вареным беконом,1
125,https://vkusvill.ru/goods/klab-sendvich-66566.html,Готовая еда,клаб-сэндвич,1
126,https://vkusvill.ru/goods/chiabatta-18336.html,Хлеб и выпечка,чиабатта,1
127,https://vkusvill.ru/goods/kombo-nabor-bitochki-sochnye-s-penne-i-salat-krabovyy-102212.html,Готовая еда,комбо-набор биточки сочные с пенне и салат крабовый,1
128,https://vkusvill.ru/goods/konvertiki-s-vetchinoy-i-syrom-dlya-zavtraka-86688.html,Готовая еда,конвертики с ветчиной и сыром для завтрака,1
129,https://vkusvill.ru/goods/konvertiki-s-gribami-i-syrom-2-sht-85539.html,Готовая еда,конвертики с грибами и сыром,1
130,https://vkusvill.ru/goods/konvertiki-s-kuritsey-i-marinovannym-ogurchikom-96262.html,Готовая еда,конвертики с курицей и маринованным огурчиком,1
131,https://vkusvill.ru/goods/konvertiki-s-kuritsey-syrom-i-tomatami-s-zelenyu-76016.html,Готовая еда,конвертики с курицей сыром и томатами с зеленью,1
132,https://vkusvill.ru/goods/konvertiki-s-nachinkoy-kuritsa-v-syrnom-souse-94233.html,Готовая еда,конвертики с начинкой курица в сырном соусе,1
133,https://vkusvill.ru/goods/konvertiki-s-podkopchenoy-kuritsey-i-syrom-96261.html,Готовая еда,конвертики с подкопченой курицей и сыром,1
134,https://vkusvill.ru/goods/konvertiki-s-yaytsom-i-lukom-96067.html,Готовая еда,конвертики с яйцом и луком,1
135,https://vkusvill.ru/goods/koryushka-zharenaya-200-g-86669.html,Готовая еда,корюшка жареная,1
136,https://vkusvill.ru/goods/kotleta-domashnyaya-s-makaronami-67621.html,Готовая еда,котлета домашняя с макаронами,1
137,https://vkusvill.ru/goods/kotleta-rybnaya-s-kartofelnym-pyure-61688.html,Готовая еда,котлета рыбная с картофельным пюре,1
138,https://vkusvill.ru/goods/kotleta-iz-kuritsy-i-indeyki-s-bulgurom-po-tayski-104709.html,Готовая еда,котлета из курицы и индейки с булгуром по-тайски,1
139,https://vkusvill.ru/goods/kotleta-iz-ptitsy-s-brokkoli-i-sousom-21818.html,Готовая еда,котлета из птицы с брокколи и соусом,1
140,https://vkusvill.ru/goods/kotleta-kurinaya-na-grile-zam-66002.html,Замороженные продукты,котлета куриная на гриле зам,1
141,https://vkusvill.ru/goods/kotleta-kurinaya-s-kart-pyure-i-ovoshchami-29021.html,Готовая еда,котлета куриная с карт пюре и овощами,1
142,https://vkusvill.ru/goods/kotleta-kurinaya-s-farfalle-75244.html,Готовая еда,котлета куриная с фарфалле,1
143,https://vkusvill.ru/goods/kotleta-myasnaya-s-kartofelnym-pyure-ogurtsami-i-brusnikoy-89609.html,Готовая еда,котлета мясная с картофельным пюре огурцами и брусникой,1
144,https://vkusvill.ru/goods/kotletka-iz-tsyplenka-s-bulgurom-i-ovoshchami-70268.html,Готовая еда,котлетка из цыпленка с булгуром и овощами,1
145,https://vkusvill.ru/goods/kotletki-rybnye-s-zapechennymi-ovoshchami-30084.html,Готовая еда,котлетки рыбные с запеченными овощами,1
146,https://vkusvill.ru/goods/kotlety-ot-ilinoy-po-kievski-500-g-78171.html,Супермаркет,котлеты от ильиной по-киевски,1
147,https://vkusvill.ru/goods/kotlety-iz-indeyki-i-kuritsy-s-ovoshchami-400-g-100883.html,Готовая еда,котлеты из индейки и курицы с овощами,1
148,https://vkusvill.ru/goods/kotlety-kurinye-s-motsarelloy-s-bulgurom-kinoa-i-ovoshchami-53515.html,Готовая еда,котлеты куриные с моцареллой с булгуром киноа и овощами,1
149,https://vkusvill.ru/goods/krevetki-v-zelenom-souse-s-limonnym-sokom-76932.html,Готовая еда,креветки в зеленом соусе с лимонным соком,1
150,https://vkusvill.ru/goods/krevetki-zharenye-150-g-65425.html,Готовая еда,креветки жареные,1
151,https://vkusvill.ru/goods/krem-sup-s-lesnymi-gribami-89166.html,Готовая еда,крем-суп с лесными грибами,1
152,https://vkusvill.ru/goods/krem-sup-s-lisichkami-i-belymi-gribami-98575.html,Готовая еда,крем-суп с лисичками и белыми грибами,1
153,https://vkusvill.ru/goods/krem-sup-s-tykvoy-i-indeykoy-58178.html,Готовая еда,крем-суп с тыквой и индейкой,1
154,https://vkusvill.ru/goods/krem-sup-syrnyy-292511.html,Готовая еда,крем-суп сырный,1
155,https://vkusvill.ru/goods/krem-sup-tykvennyy-97844.html,Готовая еда,крем-суп тыквенный,1
156,https://vkusvill.ru/goods/kruassan-s-zapechennoy-indeykoy-i-motsarelloy-93697.html,Готовая еда,круассан с запеченной индейкой и моцареллой,1
157,https://vkusvill.ru/goods/kruassan-s-indeykoy-i-medovo-gorchichnoy-zapravkoy-kafe-105655.html,Готовая еда,круассан с индейкой и медово-горчичной заправкой кафе,1
158,https://vkusvill.ru/goods/krylya-kurinye-v-soevo-tomatnom-souse-104163.html,Готовая еда,крылья куриные в соево-томатном соусе,1
159,https://vkusvill.ru/goods/penne-s-gribami-i-ovoshchami-34511.html,Готовая еда,пенне с грибами и овощами,1
160,https://vkusvill.ru/goods/kurinaya-kotleta-gril-43175.html,Готовая еда,куриная котлета-гриль,1
161,https://vkusvill.ru/goods/kurinoe-file-zapechennoe-s-ovoshchami-22929.html,Готовая еда,куриное филе запеченное с овощами,1
162,https://vkusvill.ru/goods/kurinoe-bedro-farshirovannoe-gribami-syrom-i-kurinoy-vetchinoy-104228.html,Готовая еда,куриное бедро фаршированное грибами сыром и куриной ветчиной,1
163,https://vkusvill.ru/goods/kurinoe-file-v-klyare-s-risom-i-kislo-sladkim-sousom-319127.html,Готовая еда,куриное филе в кляре с рисом и кисло-сладким соусом,1
164,https://vkusvill.ru/goods/kurinoe-file-gril-s-pyure-iz-kartofelya-i-batata-106634.html,Готовая еда,куриное филе гриль с пюре из картофеля и батата,1
165,https://vkusvill.ru/goods/kurinye-kotletki-s-pyure-iz-zelenogo-goroshka-105589.html,Готовая еда,куриные котлетки с пюре из зеленого горошка,1
166,https://vkusvill.ru/goods/kuritsa-gunbao-s-risom-basmati-100082.html,Готовая еда,курица гунбао с рисом басмати,1
167,https://vkusvill.ru/goods/kuritsa-po-singapurski-317969.html,Готовая еда,курица по-сингапурски,1
168,https://vkusvill.ru/goods/kuritsa-v-souse-tom-yam-s-risom-102925.html,Готовая еда,курица в соусе том-ям с рисом,1
169,https://vkusvill.ru/goods/kuritsa-s-kartofelnym-khashbraunom-v-tortile-79662.html,Готовая еда,курица с картофельным хашбрауном в тортилье,1
